Year,Q1,Q2,Q3,Q4,Q1milU,Q2milU,Q3milU,Q4milU,ModelMake,Region,,,,,,,,,,,,,,,,,,
2013,8.82226089,6.909755704,5.767052316,6.23964047,8822260.89,6909755.704,5767052.316,6239640.47,Samsung,Africa,,,,,,,,,,,,,,,,,,
2014,7.839424189,6.716433971,5.407558915,6.032807915,7839424.189,6716433.971,5407558.915,6032807.915,Samsung,Africa,,,,,,,,,,,,,,,,,,
2015,9.701742004,7.969055437,6.192074627,6.259818763,9701742.004,7969055.437,6192074.627,6259818.763,Samsung,Africa,,,,,,,,,,,,,,,,,,
2016,8.812514646,6.032530419,4.732690401,5.36316584,8812514.646,6032530.419,4732690.401,5363165.84,Samsung,Africa,,,,,,,,,,,,,,,,,,
2017,9.195562806,5.962022838,4.819184339,5.482805873,9195562.806,5962022.838,4819184.339,5482805.873,Samsung,Africa,,,,,,,,,,,,,,,,,,
2018,9.649803459,6.517236635,5.154382862,5.852034198,9649803.459,6517236.635,5154382.862,5852034.198,Samsung,Africa,,,,,,,,,,,,,,,,,,
2010,1.312614649,1.314116496,1.261551837,2.117604869,1312614.649,1314116.496,1261551.837,2117604.869,Samsung,MiddleEast,,,,,,,,,,,,,,,,,,
2011,2.596920273,2.982300683,3.252546697,2.729644647,2596920.273,2982300.683,3252546.697,2729644.647,Samsung,MiddleEast,,,,,,,,,,,,,,,,,,
2012,4.215934959,3.990569106,2.962764228,3.062926829,4215934.959,3990569.106,2962764.228,3062926.829,Samsung,MiddleEast,,,,,,,,,,,,,,,,,,
2013,6.960884997,5.451892141,4.550283475,4.923162019,6960884.997,5451892.141,4550283.475,4923162.019,Samsung,MiddleEast,,,,,,,,,,,,,,,,,,
2014,5.683866163,4.869657626,3.920675856,4.374004002,5683866.163,4869657.626,3920675.856,4374004.002,Samsung,MiddleEast,,,,,,,,,,,,,,,,,,
2015,8.272680171,6.795217484,5.279985075,5.337750533,8272680.171,6795217.484,5279985.075,5337750.533,Samsung,MiddleEast,,,,,,,,,,,,,,,,,,
2016,8.374416404,5.732634069,4.497413249,5.096545741,8374416.404,5732634.069,4497413.249,5096545.741,Samsung,MiddleEast,,,,,,,,,,,,,,,,,,
2017,8.317514274,5.392732463,4.359019168,4.959274062,8317514.274,5392732.463,4359019.168,4959274.062,Samsung,MiddleEast,,,,,,,,,,,,,,,,,,
2018,9.285086478,6.270915881,4.959571541,5.630854953,9285086.478,6270915.881,4959571.541,5630854.953,Samsung,MiddleEast,,,,,,,,,,,,,,,,,,
2010,0.112075636,0.112203869,0.107715714,0.18080852,112075.6357,112203.8687,107715.714,180808.5199,Samsung,Others,,,,,,,,,,,,,,,,,,
2011,0.077685649,0.089214123,0.097298405,0.081656036,77685.6492,89214.12301,97298.40547,81656.03645,Samsung,Others,,,,,,,,,,,,,,,,,,
2012,0.285288832,0.270038511,0.200487805,0.207265725,285288.8318,270038.5109,200487.8049,207265.7253,Samsung,Others,,,,,,,,,,,,,,,,,,
2013,0.815040332,0.63835446,0.532786356,0.576446186,815040.3319,638354.4596,532786.3563,576446.1858,Samsung,Others,,,,,,,,,,,,,,,,,,
2014,0.726082703,0.622072032,0.50084482,0.558755002,726082.7034,622072.032,500844.8199,558755.0022,Samsung,Others,,,,,,,,,,,,,,,,,,
2015,1.111492537,0.912985075,0.709402985,0.717164179,1111492.537,912985.0746,709402.9851,717164.1791,Samsung,Others,,,,,,,,,,,,,,,,,,
2016,0.556047769,0.380637675,0.298621,0.338402434,556047.7693,380637.6746,298621.0005,338402.4335,Samsung,Others,,,,,,,,,,,,,,,,,,
2017,0.622616232,0.40367863,0.32629894,0.371231648,622616.2316,403678.6297,326298.9396,371231.6476,Samsung,Others,,,,,,,,,,,,,,,,,,
2018,1.20052673,0.810805818,0.641253931,0.728048349,1200526.73,810805.8176,641253.9308,728048.3491,Samsung,Others,,,,,,,,,,,,,,,,,,
2010,7.528063464,7.536676809,7.235209737,12.14481634,7528063.464,7536676.809,7235209.737,12144816.34,RIM,UK,,,,,,,,,,,,,,,,,,
2011,15.09691116,17.3372779,18.90832346,15.86848975,15096911.16,17337277.9,18908323.46,15868489.75,RIM,UK,,,,,,,,,,,,,,,,,,
2012,13.67801455,12.94684638,9.612276423,9.937240051,13678014.55,12946846.38,9612276.423,9937240.051,RIM,UK,,,,,,,,,,,,,,,,,,
2013,30.7622655,24.09356764,20.10908504,21.75694861,30762265.5,24093567.64,20109085.04,21756948.61,RIM,UK,,,,,,,,,,,,,,,,,,
2014,11.61732325,9.953152512,8.013517119,8.940080036,11617323.25,9953152.512,8013517.119,8940080.036,RIM,UK,,,,,,,,,,,,,,,,,,
